Package,LibPath,Version,Priority,Built
multcomp,C:/Users/jkee2/Documents/R/win-library/3.6,1.4-11,NA,3.6.2
munsell,C:/Users/jkee2/Documents/R/win-library/3.6,0.5.0,NA,3.6.1
mvtnorm,C:/Users/jkee2/Documents/R/win-library/3.6,1.0-11,NA,3.6.0
openssl,C:/Users/jkee2/Documents/R/win-library/3.6,1.4.1,NA,3.6.1
pillar,C:/Users/jkee2/Documents/R/win-library/3.6,1.4.2,NA,3.6.1
pkgbuild,C:/Users/jkee2/Documents/R/win-library/3.6,1.0.6,NA,3.6.2
pkgconfig,C:/Users/jkee2/Documents/R/win-library/3.6,2.0.2,NA,3.6.1
pkgload,C:/Users/jkee2/Documents/R/win-library/3.6,1.0.2,NA,3.6.2
plogr,C:/Users/jkee2/Documents/R/win-library/3.6,0.2.0,NA,3.6.1
plyr,C:/Users/jkee2/Documents/R/win-library/3.6,1.8.4,NA,3.6.1
praise,C:/Users/jkee2/Documents/R/win-library/3.6,1.0.0,NA,3.6.2
prettyunits,C:/Users/jkee2/Documents/R/win-library/3.6,1.0.2,NA,3.6.1
processx,C:/Users/jkee2/Documents/R/win-library/3.6,3.4.1,NA,3.6.1
progress,C:/Users/jkee2/Documents/R/win-library/3.6,1.2.2,NA,3.6.1
promises,C:/Users/jkee2/Documents/R/win-library/3.6,1.1.0,NA,3.6.2
ps,C:/Users/jkee2/Documents/R/win-library/3.6,1.3.0,NA,3.6.1
purrr,C:/Users/jkee2/Documents/R/win-library/3.6,0.3.2,NA,3.6.1
R6,C:/Users/jkee2/Documents/R/win-library/3.6,2.4.0,NA,3.6.1
rcmdcheck,C:/Users/jkee2/Documents/R/win-library/3.6,1.3.3,NA,3.6.2
RColorBrewer,C:/Users/jkee2/Documents/R/win-library/3.6,1.1-2,NA,3.6.0
Rcpp,C:/Users/jkee2/Documents/R/win-library/3.6,1.0.2,NA,3.6.1
readr,C:/Users/jkee2/Documents/R/win-library/3.6,1.3.1,NA,3.6.1
readxl,C:/Users/jkee2/Documents/R/win-library/3.6,1.3.1,NA,3.6.1
rematch,C:/Users/jkee2/Documents/R/win-library/3.6,1.0.1,NA,3.6.1
remotes,C:/Users/jkee2/Documents/R/win-library/3.6,2.1.0,NA,3.6.2
reprex,C:/Users/jkee2/Documents/R/win-library/3.6,0.3.0,NA,3.6.1
reshape2,C:/Users/jkee2/Documents/R/win-library/3.6,1.4.3,NA,3.6.1
rex,C:/Users/jkee2/Documents/R/win-library/3.6,1.1.2,NA,3.6.2
rlang,C:/Users/jkee2/Documents/R/win-library/3.6,0.4.0,NA,3.6.1
rmarkdown,C:/Users/jkee2/Documents/R/win-library/3.6,1.14,NA,3.6.1
roxygen2,C:/Users/jkee2/Documents/R/win-library/3.6,7.0.2,NA,3.6.2
rprojroot,C:/Users/jkee2/Documents/R/win-library/3.6,1.3-2,NA,3.6.1
rstudioapi,C:/Users/jkee2/Documents/R/win-library/3.6,0.10,NA,3.6.1
rversions,C:/Users/jkee2/Documents/R/win-library/3.6,2.0.1,NA,3.6.2
rvest,C:/Users/jkee2/Documents/R/win-library/3.6,0.3.4,NA,3.6.1
sandwich,C:/Users/jkee2/Documents/R/win-library/3.6,2.5-1,NA,3.6.2
scales,C:/Users/jkee2/Documents/R/win-library/3.6,1.0.0,NA,3.6.1
selectr,C:/Users/jkee2/Documents/R/win-library/3.6,0.4-1,NA,3.6.1
sessioninfo,C:/Users/jkee2/Documents/R/win-library/3.6,1.1.1,NA,3.6.2
shiny,C:/Users/jkee2/Documents/R/win-library/3.6,1.4.0,NA,3.6.2
sourcetools,C:/Users/jkee2/Documents/R/win-library/3.6,0.1.7,NA,3.6.2
stringi,C:/Users/jkee2/Documents/R/win-library/3.6,1.4.3,NA,3.6.0
stringr,C:/Users/jkee2/Documents/R/win-library/3.6,1.4.0,NA,3.6.1
sys,C:/Users/jkee2/Documents/R/win-library/3.6,3.2,NA,3.6.1
testthat,C:/Users/jkee2/Documents/R/win-library/3.6,2.3.1,NA,3.6.2
TH.data,C:/Users/jkee2/Documents/R/win-library/3.6,1.0-10,NA,3.6.2
tibble,C:/Users/jkee2/Documents/R/win-library/3.6,2.1.3,NA,3.6.1
tidyr,C:/Users/jkee2/Documents/R/win-library/3.6,1.0.0,NA,3.6.1
tidyselect,C:/Users/jkee2/Documents/R/win-library/3.6,0.2.5,NA,3.6.1
tidyverse,C:/Users/jkee2/Documents/R/win-library/3.6,1.2.1,NA,3.6.1
tinytex,C:/Users/jkee2/Documents/R/win-library/3.6,0.15,NA,3.6.0
usethis,C:/Users/jkee2/Documents/R/win-library/3.6,1.5.1,NA,3.6.2
utf8,C:/Users/jkee2/Documents/R/win-library/3.6,1.1.4,NA,3.6.1
